Start Time, 2026-04-01 00:00:00
End Time, 2026-04-30 23:59:59
Campaign ID,Campaign Name,Campaign Status,campaign_type,Campaign Budget,Budgeting Type,Ad Spend,Views,SUM(clicks),Total converted units,Total Revenue (Rs.),ROI,Click Through Rate,Conversion Rate
4V773TYB9EHR,Clone of ROI-Tablet Stand-Fast Moving-8-10-2025,ABORTED,PLA,1000.0,TOTAL_BUDGET,38,2874,19,0.0,0.0,0.0,0.006610995128740431,0.0
B7Y4TN1CFAOG,CPC-Micro-Fiber Cloth-Fast Moving-24-9-2025,LIVE,PLA,300.0,DAILY_BUDGET,34,3181,13,0.0,0.0,0.0,0.004086765168186105,0.0
P25O4CGHGECZ,LTA-ROI-Travel Organiser-A-GDO-07-JTBLK-3-9-2025,ABORTED,PLA,80000.0,TOTAL_BUDGET,24,2137,38,0.0,0.0,0.0,0.017781937295273748,0.0
UKGX942Z215V,Clone of CPC-Data Cable-Low CVR-8-10-2025,ABORTED,PLA,300.0,DAILY_BUDGET,12,1141,7,0.0,0.0,0.0,0.006134969325153374,0.0
UGQUIPT1756X,Boost_Sales_LivingRoomSF 27-03-2026,ABORTED,PLA,300.0,DAILY_BUDGET,10,1207,8,0.0,0.0,0.0,0.006628003314001657,0.0
GIG9XPF4PXFI,Boost_Sales_Bathroom 27-03-2026,ABORTED,PLA,300.0,DAILY_BUDGET,8,1181,9,0.0,0.0,0.0,0.007620660457239628,0.0
JVAAU54I7IQZ,CPC-Printer Cable-Fast Moving-1-7-2025,ABORTED,PLA,300.0,DAILY_BUDGET,5,14,1,0.0,0.0,0.0,0.07142857142857142,0.0
7F1EZVW7794I,ROI-Vehicle Steering-Fast Moving-18-7-2025,ABORTED,PLA,9000.0,TOTAL_BUDGET,4,958,7,0.0,0.0,0.0,0.007306889352818371,0.0
I1ZIZ65VE4G7,Boost_Sales_ToolsAndMeasuringEquipments 27-03-2026,ABORTED,PLA,300.0,DAILY_BUDGET,3,457,3,0.0,0.0,0.0,0.006564551422319475,0.0
00BN9KB6TXN1,H36 37 lunchbox,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
00MEM4CXO8S5,Low Selling Sleeve,ABORTED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
00O46S2PNTAY,Laptop Bag,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
01CFW64F1MOF,AY_Tizum_EP_ROI,ABORTED,PLA,3000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
034WAVR72NRQ,Insulated LunchBox,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
03EQ41NT,Lunch Box 1700 ML,ABORTED,PLA,1980.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
03JDDKC3U71E,1700ml LunchBox,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
03KM6KC11BFZ,AirSound,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
03MJB0066Z53,Glass LunchBox,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
054TWASGX40V,Mobile Cables,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
06HHBAN9W6KT,CPC-Screwdriver Set-Low CVR-14-11-2025,PAUSED,PLA,300.0,DAILY_BUDGET,0,0,0,0,0,0,0,0
07KWIX7BAUPZ,Chopping board,ABORTED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
08AMDB6CWBRH,Glass Lunch Box,ABORTED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
09KVOO7M5DEQ,Sunglasses,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
0A5ZUXHQPPGV,ROI-Door bell-Fast Moving-20-9-2025,ABORTED,PLA,27000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
0AHY5ZYRJKYQ,Clone of CPC-Charger-Fast Moving-2-7-2025,PAUSED,PLA,300.0,DAILY_BUDGET,0,0,0,0,0,0,0,0
0CFTP4DRJLDK,AirCase New Sleeve,BUDGET_MET,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
